node_id,unique_id,name,ion_class,copies
1112,168858_km-ID-1,168858_km-ID-1,K,1
1119,168858_kdr-ID-1,168858_kdr-ID-1,K,1
1126,20756_k2-ID-1,20756_k2-ID-1,K,2
1128,168858_ka-ID-1,168858_ka-ID-1,K,1
1147,97863_ik1-ID-1,97863_ik1-ID-1,K,1
1148,97863_ix1-ID-1,97863_ix1-ID-1,K,1
1153,150239_kdr-ID-1,150239_kdr-ID-1,K,5
1156,150239_kap-ID-1,150239_kap-ID-1,K,7
1169,53876_kleak-ID-1,53876_kleak-ID-1,K,1
1174,53876_akfast-ID-1,53876_akfast-ID-1,K,1
1177,53876_kslow-ID-1,53876_kslow-ID-1,K,1
1178,53876_a-ID-1,53876_a-ID-1,K,1
1186,53876_bkfast-ID-1,53876_bkfast-ID-1,K,1
1190,2937_kdr-ID-1,2937_kdr-ID-1,K,1
1192,2937_borgkm-ID-1,2937_borgkm-ID-1,K,1
1209,135898_kd-ID-1,135898_kd-ID-1,K,1
1210,20212_kv-ID-1,20212_kv-ID-1,K,10
1237,116835_GRC_KIR-ID-1,116835_GRC_KIR-ID-1,K,4
1245,112685_Golgi_KM-ID-1,112685_Golgi_KM-ID-1,K,2
1248,116835_GRC_KA-ID-1,116835_GRC_KA-ID-1,K,4
1249,116835_GRC_KV-ID-1,116835_GRC_KV-ID-1,K,4
1254,112685_Golgi_KA-ID-1,112685_Golgi_KA-ID-1,K,3
1255,112685_Golgi_KV-ID-1,112685_Golgi_KV-ID-1,K,2
1265,144450_km-ID-1,144450_km-ID-1,K,1
1273,144450_hha2-ID-1,144450_hha2-ID-1,K,1
1274,144450_hha_old-ID-1,144450_hha_old-ID-1,K,1
1278,144450_kaprox-ID-1,144450_kaprox-ID-1,K,1
1286,151126_km-ID-1,151126_km-ID-1,K,1
1294,151126_kdr-ID-1,151126_kdr-ID-1,K,1
1300,151126_kaprox-ID-1,151126_kaprox-ID-1,K,1
1303,151126_kdrax-ID-1,151126_kdrax-ID-1,K,1
1304,151126_kadist-ID-1,151126_kadist-ID-1,K,1
1317,19696_kadist-ID-1,19696_kadist-ID-1,K,1
